epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,1952.82,1.35537,2.02862,1.20176,1.23173,0,0.68208,0.66667,0.68095,0.38246,0.70253,0.65278,0.69003,0.3461,1.51871,2.39363,1.36748,1.35956,0,0.0006338,0.0006338,0.0006338
71,1979.98,1.37328,2.01456,1.19566,1.23768,0,0.76885,0.66667,0.72219,0.39738,0.784,0.68056,0.72233,0.36832,1.50502,2.4244,1.27936,1.32916,0,0.000614,0.000614,0.000614
72,2007.57,1.34948,2.00187,1.14705,1.22138,0,0.69011,0.70833,0.70492,0.40836,0.72077,0.73611,0.73324,0.38369,1.5286,2.33123,1.24104,1.34007,0,0.0005942,0.0005942,0.0005942
73,2035.74,1.36097,2.02173,1.15769,1.2319,0,0.72576,0.66667,0.70095,0.38771,0.73164,0.68161,0.70543,0.35385,1.48523,2.40545,1.23158,1.31594,0,0.0005744,0.0005744,0.0005744
74,2064.26,1.3862,2.10081,1.17349,1.23517,0,0.72359,0.68056,0.70747,0.40009,0.75167,0.69366,0.71682,0.36888,1.51877,2.35133,1.24363,1.34363,0,0.0005546,0.0005546,0.0005546
75,2092.34,1.33194,2.0184,1.12495,1.2037,0,0.72037,0.69771,0.70174,0.38917,0.74152,0.71718,0.70762,0.36181,1.53242,2.40331,1.29884,1.3549,0,0.0005348,0.0005348,0.0005348
76,2120,1.34658,2.00493,1.1597,1.24359,0,0.71534,0.66667,0.714,0.38863,0.71382,0.66667,0.71472,0.3655,1.59871,2.36761,1.30653,1.38936,0,0.000515,0.000515,0.000515
77,2147.53,1.33812,2.00436,1.19443,1.2108,0,0.75441,0.65278,0.72286,0.39226,0.78565,0.63634,0.72231,0.3579,1.54575,2.32047,1.23025,1.37413,0,0.0004952,0.0004952,0.0004952
78,2174.94,1.35976,2.03365,1.14557,1.24347,0,0.71883,0.6924,0.70648,0.41315,0.74517,0.70833,0.72758,0.37597,1.49029,2.34579,1.19466,1.35221,0,0.0004754,0.0004754,0.0004754
79,2202.54,1.31763,2.00696,1.11899,1.21522,0,0.66651,0.72171,0.71383,0.41161,0.67357,0.73611,0.71836,0.36879,1.50897,2.35998,1.20884,1.33379,0,0.0004556,0.0004556,0.0004556
80,2230,1.30604,1.9899,1.17181,1.21708,0,0.68844,0.69444,0.73071,0.4044,0.6902,0.69623,0.71367,0.37662,1.49079,2.33125,1.19904,1.3303,0,0.0004358,0.0004358,0.0004358
81,2257.49,1.3124,1.93038,1.10651,1.2044,0,0.73574,0.67361,0.71979,0.39348,0.75317,0.70139,0.70929,0.36797,1.51528,2.34119,1.21681,1.35566,0,0.000416,0.000416,0.000416
82,2286.41,1.33558,1.97836,1.13248,1.2108,0,0.71282,0.73611,0.72489,0.41399,0.73244,0.74306,0.72912,0.37038,1.49887,2.42518,1.22396,1.34089,0,0.0003962,0.0003962,0.0003962
83,2314.82,1.31597,1.93806,1.08744,1.19968,0,0.75682,0.71528,0.74246,0.41031,0.78665,0.71696,0.74928,0.38206,1.50178,2.35752,1.15534,1.36682,0,0.0003764,0.0003764,0.0003764
84,2342.64,1.29201,2.01995,1.09328,1.20001,0,0.69626,0.73611,0.7477,0.42095,0.71753,0.6875,0.73024,0.38235,1.46583,2.32157,1.19204,1.31723,0,0.0003566,0.0003566,0.0003566
85,2370.33,1.29684,1.97003,1.07707,1.19871,0,0.73106,0.6607,0.73596,0.41587,0.78608,0.66348,0.73352,0.37194,1.52688,2.43915,1.25806,1.35405,0,0.0003368,0.0003368,0.0003368
86,2397.53,1.26223,1.87218,1.05133,1.18985,0,0.7242,0.6875,0.71494,0.41723,0.73211,0.69444,0.72301,0.37741,1.44995,2.40532,1.15005,1.3151,0,0.000317,0.000317,0.000317
87,2425.19,1.27568,1.92653,1.08552,1.19064,0,0.71936,0.69444,0.72943,0.41857,0.75235,0.65972,0.72718,0.36588,1.44588,2.35114,1.19482,1.33006,0,0.0002972,0.0002972,0.0002972
88,2453.71,1.27617,1.90992,1.06136,1.19004,0,0.71841,0.70833,0.74036,0.41549,0.71406,0.72835,0.73471,0.37555,1.42768,2.34751,1.153,1.3108,0,0.0002774,0.0002774,0.0002774
89,2481.03,1.26655,1.90317,1.07835,1.17922,0,0.73255,0.68477,0.72401,0.40284,0.78468,0.70139,0.73542,0.37098,1.48575,2.34912,1.16463,1.34183,0,0.0002576,0.0002576,0.0002576
90,2508.94,1.26573,1.87412,1.10115,1.18567,0,0.72182,0.72078,0.73802,0.41937,0.73779,0.75,0.76001,0.38794,1.45803,2.28702,1.14853,1.32263,0,0.0002378,0.0002378,0.0002378
91,2545.55,1.21647,1.85025,1.02945,1.19293,0,0.76658,0.63857,0.71653,0.41414,0.77358,0.6406,0.72279,0.3787,1.47108,2.28682,1.15246,1.34714,0,0.000218,0.000218,0.000218
92,2572.4,1.2103,1.82427,0.94988,1.16989,0,0.71188,0.71528,0.73536,0.42452,0.75061,0.68974,0.75129,0.39016,1.45875,2.28894,1.13354,1.34601,0,0.0001982,0.0001982,0.0001982
93,2599.28,1.17786,1.79877,0.93646,1.16426,0,0.76016,0.66032,0.73914,0.4213,0.73705,0.69444,0.74467,0.39097,1.44819,2.31168,1.14087,1.31524,0,0.0001784,0.0001784,0.0001784
94,2625.95,1.1559,1.7639,0.97044,1.13975,0,0.68664,0.77083,0.74234,0.42219,0.71088,0.73421,0.75691,0.37922,1.47282,2.33209,1.115,1.32818,0,0.0001586,0.0001586,0.0001586
95,2652.4,1.16954,1.79091,0.93743,1.14797,0,0.71619,0.68345,0.75133,0.42549,0.72317,0.68938,0.75095,0.39003,1.46665,2.3615,1.11297,1.32239,0,0.0001388,0.0001388,0.0001388
96,2679.13,1.16165,1.76201,0.91448,1.14971,0,0.75007,0.6875,0.73154,0.41907,0.75765,0.69444,0.73305,0.3742,1.49209,2.38671,1.17168,1.34753,0,0.000119,0.000119,0.000119
97,2705.84,1.17148,1.80994,0.9179,1.17088,0,0.76262,0.6875,0.74585,0.41457,0.76708,0.6875,0.74451,0.39015,1.4799,2.3932,1.14399,1.34054,0,9.92e-05,9.92e-05,9.92e-05
98,2731.93,1.16872,1.77596,0.91002,1.14916,0,0.76544,0.65972,0.74365,0.42784,0.77238,0.6875,0.75366,0.38974,1.46875,2.35393,1.14488,1.33275,0,7.94e-05,7.94e-05,7.94e-05
99,2759.93,1.15385,1.7438,0.89303,1.14202,0,0.74892,0.67361,0.73159,0.4304,0.76311,0.6875,0.74136,0.3878,1.46542,2.35841,1.15573,1.33442,0,5.96e-05,5.96e-05,5.96e-05
100,2787.92,1.16965,1.78714,0.92891,1.17041,0,0.76068,0.68426,0.73716,0.42845,0.77879,0.68056,0.74058,0.38172,1.44817,2.36715,1.15267,1.32782,0,3.98e-05,3.98e-05,3.98e-05
